datetime_stamp,Machine_Id,Plant_Id,Status,Duration_Hours,Downtime_Reason,Maintenance_Cost_USD,Productivity_Loss_USD,ROI_Impact_USD,Availability_Percent,Efficiency_Percent
2025-08-09 16:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,85.0
2025-08-10 00:00:00,CR-101,PL-01,Downtime,3.8,Electrical Fault,1547,1520,-3067,0.0,0.0
2025-08-10 08:00:00,CR-101,PL-01,Downtime,3.4,Motor Overheating,2872,1360,-4232,0.0,0.0
2025-08-10 16:00:00,CR-101,PL-01,Downtime,5.7,Motor Overheating,2827,2280,-5107,0.0,0.0
2025-08-11 00:00:00,CR-101,PL-01,Downtime,4.5,Bearing Failure,3093,1800,-4893,0.0,0.0
2025-08-11 08:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,85.0
2025-08-11 16:00:00,CR-101,PL-01,Downtime,3.5,Motor Overheating,2810,1400,-4210,0.0,0.0
2025-08-12 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,87.2
2025-08-12 08:00:00,CR-101,PL-01,Downtime,3.3,Motor Overheating,1614,1320,-2934,0.0,0.0
2025-08-12 16:00:00,CR-101,PL-01,Downtime,2.1,Motor Overheating,2146,840,-2986,0.0,0.0
2025-08-13 00:00:00,CR-101,PL-01,Downtime,2.3,Electrical Fault,1961,919,-2880,0.0,0.0
2025-08-13 08:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,85.0
2025-08-13 16:00:00,CR-101,PL-01,Downtime,4.6,Hydraulic Leak,1810,1839,-3649,0.0,0.0
2025-08-14 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,91.6
2025-08-14 08:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,85.5
2025-08-14 16:00:00,CR-101,PL-01,Downtime,2.6,Bearing Failure,3525,1040,-4565,0.0,0.0
2025-08-15 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,85.0
2025-08-15 08:00:00,CR-101,PL-01,Downtime,4.3,Motor Overheating,2695,1720,-4415,0.0,0.0
2025-08-15 16:00:00,CR-101,PL-01,Downtime,2.9,Electrical Fault,1083,1160,-2243,0.0,0.0
2025-08-16 00:00:00,CR-101,PL-01,Downtime,2.4,Conveyor Belt Issue,548,960,-1508,0.0,0.0
2025-08-16 08:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,95.0
2025-08-16 16:00:00,CR-101,PL-01,Downtime,2.6,Motor Overheating,2893,1040,-3933,0.0,0.0
2025-08-17 00:00:00,CR-101,PL-01,Downtime,2.3,Electrical Fault,1581,919,-2500,0.0,0.0
2025-08-17 08:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,88.9
2025-08-17 16:00:00,CR-101,PL-01,Downtime,3.0,Conveyor Belt Issue,1066,1200,-2266,0.0,0.0
2025-08-18 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,90.3
2025-08-18 08:00:00,CR-101,PL-01,Downtime,4.9,Bearing Failure,3396,1960,-5356,0.0,0.0
2025-08-18 16:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,85.0
2025-08-19 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,87.3
2025-08-19 08:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,90.6
2025-08-19 16:00:00,CR-101,PL-01,Downtime,3.2,Hydraulic Leak,1323,1280,-2603,0.0,0.0
2025-08-20 00:00:00,CR-101,PL-01,Downtime,5.8,Conveyor Belt Issue,1396,2320,-3716,0.0,0.0
2025-08-20 08:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,85.0
2025-08-20 16:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,91.9
2025-08-21 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,87.0
2025-08-21 08:00:00,CR-101,PL-01,Downtime,2.4,Conveyor Belt Issue,1140,960,-2100,0.0,0.0
2025-08-21 16:00:00,CR-101,PL-01,Downtime,4.6,Hydraulic Leak,2247,1839,-4086,0.0,0.0
2025-08-22 00:00:00,CR-101,PL-01,Downtime,3.5,Motor Overheating,1830,1400,-3230,0.0,0.0
2025-08-22 08:00:00,CR-101,PL-01,Downtime,5.1,Sensor Malfunction,571,2039,-2610,0.0,0.0
2025-08-22 16:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,88.5
2025-08-23 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,87.0
2025-08-23 08:00:00,CR-101,PL-01,Downtime,2.4,Conveyor Belt Issue,871,960,-1831,0.0,0.0
2025-08-23 16:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,95.0
2025-08-24 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,89.9
2025-08-24 08:00:00,CR-101,PL-01,Downtime,2.2,Hydraulic Leak,2161,880,-3041,0.0,0.0
2025-08-24 16:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,85.0
2025-08-25 00:00:00,CR-101,PL-01,Downtime,3.9,Bearing Failure,2141,1560,-3701,0.0,0.0
2025-08-25 08:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,94.1
2025-08-25 16:00:00,CR-101,PL-01,Downtime,2.5,Sensor Malfunction,637,1000,-1637,0.0,0.0
2025-08-26 00:00:00,CR-101,PL-01,Downtime,4.2,Conveyor Belt Issue,771,1680,-2451,0.0,0.0
2025-08-26 08:00:00,CR-101,PL-01,Downtime,4.4,Sensor Malfunction,793,1760,-2553,0.0,0.0
2025-08-26 16:00:00,CR-101,PL-01,Downtime,4.2,Motor Overheating,2994,1680,-4674,0.0,0.0
2025-08-27 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,85.0
2025-08-27 08:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,91.0
2025-08-27 16:00:00,CR-101,PL-01,Downtime,4.7,Electrical Fault,1564,1880,-3444,0.0,0.0
2025-08-28 00:00:00,CR-101,PL-01,Downtime,4.1,Electrical Fault,1047,1639,-2686,0.0,0.0
2025-08-28 08:00:00,CR-101,PL-01,Downtime,2.3,Motor Overheating,1543,919,-2462,0.0,0.0
2025-08-28 16:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,85.0
2025-08-29 00:00:00,CR-101,PL-01,Downtime,2.9,Motor Overheating,1645,1160,-2805,0.0,0.0
2025-08-29 08:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,85.0
2025-08-29 16:00:00,CR-101,PL-01,Downtime,2.3,Bearing Failure,2064,919,-2983,0.0,0.0
2025-08-30 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,91.0
2025-08-30 08:00:00,CR-101,PL-01,Downtime,3.0,Bearing Failure,3370,1200,-4570,0.0,0.0
2025-08-30 16:00:00,CR-101,PL-01,Downtime,4.2,Conveyor Belt Issue,1240,1680,-2920,0.0,0.0
2025-08-31 00:00:00,CR-101,PL-01,Running,8.0,None,0,0,0,100.0,93.7
2025-08-01 00:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,90.9
2025-08-01 08:00:00,CR-102,PL-02,Downtime,5.1,Conveyor Belt Issue,1326,2039,-3365,0.0,0.0
2025-08-01 16:00:00,CR-102,PL-02,Downtime,2.4,Electrical Fault,1682,960,-2642,0.0,0.0
2025-08-02 00:00:00,CR-102,PL-02,Downtime,3.6,Hydraulic Leak,2493,1440,-3933,0.0,0.0
2025-08-02 08:00:00,CR-102,PL-02,Downtime,4.6,Bearing Failure,3323,1839,-5162,0.0,0.0
2025-08-02 16:00:00,CR-102,PL-02,Downtime,3.6,Bearing Failure,2694,1440,-4134,0.0,0.0
2025-08-03 00:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,89.4
2025-08-03 08:00:00,CR-102,PL-02,Downtime,2.8,Bearing Failure,3098,1120,-4218,0.0,0.0
2025-08-03 16:00:00,CR-102,PL-02,Downtime,3.7,Electrical Fault,1370,1480,-2850,0.0,0.0
2025-08-04 00:00:00,CR-102,PL-02,Downtime,5.5,Conveyor Belt Issue,577,2200,-2777,0.0,0.0
2025-08-04 08:00:00,CR-102,PL-02,Downtime,5.4,Electrical Fault,1927,2160,-4087,0.0,0.0
2025-08-04 16:00:00,CR-102,PL-02,Downtime,4.6,Bearing Failure,3107,1839,-4946,0.0,0.0
2025-08-05 00:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,88.5
2025-08-05 08:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,85.0
2025-08-05 16:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,86.4
2025-08-06 00:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,87.7
2025-08-06 08:00:00,CR-102,PL-02,Downtime,3.9,Motor Overheating,1937,1560,-3497,0.0,0.0
2025-08-06 16:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,95.0
2025-08-07 00:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,91.7
2025-08-07 08:00:00,CR-102,PL-02,Downtime,2.0,Motor Overheating,2299,800,-3099,0.0,0.0
2025-08-07 16:00:00,CR-102,PL-02,Downtime,5.1,Motor Overheating,2431,2039,-4470,0.0,0.0
2025-08-08 00:00:00,CR-102,PL-02,Downtime,4.8,Hydraulic Leak,2496,1920,-4416,0.0,0.0
2025-08-08 08:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,85.0
2025-08-08 16:00:00,CR-102,PL-02,Downtime,4.9,Sensor Malfunction,379,1960,-2339,0.0,0.0
2025-08-09 00:00:00,CR-102,PL-02,Downtime,2.9,Motor Overheating,1619,1160,-2779,0.0,0.0
2025-08-09 08:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,91.6
2025-08-09 16:00:00,CR-102,PL-02,Downtime,5.0,Sensor Malfunction,329,2000,-2329,0.0,0.0
2025-08-10 00:00:00,CR-102,PL-02,Downtime,3.9,Bearing Failure,3882,1560,-5442,0.0,0.0
2025-08-10 08:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,88.1
2025-08-10 16:00:00,CR-102,PL-02,Downtime,5.8,Motor Overheating,1664,2320,-3984,0.0,0.0
2025-08-11 00:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,86.6
2025-08-11 08:00:00,CR-102,PL-02,Downtime,2.3,Bearing Failure,3765,919,-4684,0.0,0.0
2025-08-11 16:00:00,CR-102,PL-02,Downtime,2.5,Motor Overheating,2666,1000,-3666,0.0,0.0
2025-08-12 00:00:00,CR-102,PL-02,Downtime,4.4,Motor Overheating,2768,1760,-4528,0.0,0.0
2025-08-12 08:00:00,CR-102,PL-02,Downtime,4.6,Bearing Failure,3157,1839,-4996,0.0,0.0
2025-08-12 16:00:00,CR-102,PL-02,Downtime,5.7,Sensor Malfunction,404,2280,-2684,0.0,0.0
2025-08-13 00:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,93.1
2025-08-13 08:00:00,CR-102,PL-02,Downtime,3.1,Hydraulic Leak,1268,1240,-2508,0.0,0.0
2025-08-13 16:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,95.0
2025-08-14 00:00:00,CR-102,PL-02,Downtime,3.3,Hydraulic Leak,1148,1320,-2468,0.0,0.0
2025-08-14 08:00:00,CR-102,PL-02,Downtime,4.5,Bearing Failure,3153,1800,-4953,0.0,0.0
2025-08-14 16:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,94.7
2025-08-15 00:00:00,CR-102,PL-02,Downtime,2.9,Bearing Failure,2543,1160,-3703,0.0,0.0
2025-08-15 08:00:00,CR-102,PL-02,Downtime,3.4,Bearing Failure,2140,1360,-3500,0.0,0.0
2025-08-15 16:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,85.8
2025-08-16 00:00:00,CR-102,PL-02,Downtime,2.6,Hydraulic Leak,2112,1040,-3152,0.0,0.0
2025-08-16 08:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,88.5
2025-08-16 16:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,91.7
2025-08-17 00:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,94.9
2025-08-17 08:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,87.6
2025-08-17 16:00:00,CR-102,PL-02,Downtime,5.3,Bearing Failure,2613,2120,-4733,0.0,0.0
2025-08-18 00:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,89.1
2025-08-18 08:00:00,CR-102,PL-02,Downtime,5.5,Bearing Failure,2541,2200,-4741,0.0,0.0
2025-08-18 16:00:00,CR-102,PL-02,Downtime,2.4,Bearing Failure,3133,960,-4093,0.0,0.0
2025-08-19 00:00:00,CR-102,PL-02,Downtime,3.1,Motor Overheating,1931,1240,-3171,0.0,0.0
2025-08-19 08:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,85.0
2025-08-19 16:00:00,CR-102,PL-02,Downtime,4.5,Motor Overheating,2040,1800,-3840,0.0,0.0
2025-08-20 00:00:00,CR-102,PL-02,Downtime,3.0,Conveyor Belt Issue,1429,1200,-2629,0.0,0.0
2025-08-20 08:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,85.0
2025-08-20 16:00:00,CR-102,PL-02,Downtime,3.7,Bearing Failure,2566,1480,-4046,0.0,0.0
2025-08-21 00:00:00,CR-102,PL-02,Downtime,3.3,Bearing Failure,2267,1320,-3587,0.0,0.0
2025-08-21 08:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,94.1
2025-08-21 16:00:00,CR-102,PL-02,Downtime,5.0,Motor Overheating,2629,2000,-4629,0.0,0.0
2025-08-22 00:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,95.0
2025-08-22 08:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,89.6
2025-08-22 16:00:00,CR-102,PL-02,Downtime,5.8,Bearing Failure,3415,2320,-5735,0.0,0.0
2025-08-23 00:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,95.0
2025-08-23 08:00:00,CR-102,PL-02,Downtime,5.3,Sensor Malfunction,598,2120,-2718,0.0,0.0
2025-08-23 16:00:00,CR-102,PL-02,Downtime,3.7,Sensor Malfunction,321,1480,-1801,0.0,0.0
2025-08-24 00:00:00,CR-102,PL-02,Downtime,5.6,Hydraulic Leak,1081,2240,-3321,0.0,0.0
2025-08-24 08:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,91.8
2025-08-24 16:00:00,CR-102,PL-02,Downtime,3.0,Motor Overheating,1710,1200,-2910,0.0,0.0
2025-08-25 00:00:00,CR-102,PL-02,Downtime,4.2,Hydraulic Leak,1832,1680,-3512,0.0,0.0
2025-08-25 08:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,86.8
2025-08-25 16:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,91.8
2025-08-26 00:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,95.0
2025-08-26 08:00:00,CR-102,PL-02,Downtime,2.7,Motor Overheating,1862,1080,-2942,0.0,0.0
2025-08-26 16:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,89.8
2025-08-27 00:00:00,CR-102,PL-02,Downtime,4.9,Bearing Failure,2680,1960,-4640,0.0,0.0
2025-08-27 08:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,95.0
2025-08-27 16:00:00,CR-102,PL-02,Downtime,4.7,Electrical Fault,1308,1880,-3188,0.0,0.0
2025-08-28 00:00:00,CR-102,PL-02,Downtime,5.1,Motor Overheating,1721,2039,-3760,0.0,0.0
2025-08-28 08:00:00,CR-102,PL-02,Downtime,2.2,Electrical Fault,1763,880,-2643,0.0,0.0
2025-08-28 16:00:00,CR-102,PL-02,Downtime,5.3,Motor Overheating,2442,2120,-4562,0.0,0.0
2025-08-29 00:00:00,CR-102,PL-02,Downtime,5.3,Hydraulic Leak,1466,2120,-3586,0.0,0.0
2025-08-29 08:00:00,CR-102,PL-02,Downtime,4.6,Motor Overheating,2316,1839,-4155,0.0,0.0
2025-08-29 16:00:00,CR-102,PL-02,Downtime,5.5,Hydraulic Leak,1571,2200,-3771,0.0,0.0
2025-08-30 00:00:00,CR-102,PL-02,Downtime,4.0,Hydraulic Leak,2391,1600,-3991,0.0,0.0
2025-08-30 08:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,85.0
2025-08-30 16:00:00,CR-102,PL-02,Downtime,5.8,Sensor Malfunction,359,2320,-2679,0.0,0.0
2025-08-31 00:00:00,CR-102,PL-02,Running,8.0,None,0,0,0,100.0,94.1
2025-08-01 00:00:00,CR-103,PL-03,Downtime,4.3,Motor Overheating,2043,1720,-3763,0.0,0.0
2025-08-01 08:00:00,CR-103,PL-03,Downtime,4.4,Bearing Failure,2707,1760,-4467,0.0,0.0
2025-08-01 16:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,90.4
2025-08-02 00:00:00,CR-103,PL-03,Downtime,4.4,Hydraulic Leak,2047,1760,-3807,0.0,0.0
2025-08-02 08:00:00,CR-103,PL-03,Downtime,5.6,Bearing Failure,2389,2240,-4629,0.0,0.0
2025-08-02 16:00:00,CR-103,PL-03,Downtime,4.8,Motor Overheating,1503,1920,-3423,0.0,0.0
2025-08-03 00:00:00,CR-103,PL-03,Downtime,5.2,Sensor Malfunction,651,2080,-2731,0.0,0.0
2025-08-03 08:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,88.5
2025-08-03 16:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,90.5
2025-08-04 00:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,85.0
2025-08-04 08:00:00,CR-103,PL-03,Downtime,2.3,Hydraulic Leak,2360,919,-3279,0.0,0.0
2025-08-04 16:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,88.9
2025-08-05 00:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,91.8
2025-08-05 08:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,95.0
2025-08-05 16:00:00,CR-103,PL-03,Downtime,5.6,Bearing Failure,3038,2240,-5278,0.0,0.0
2025-08-06 00:00:00,CR-103,PL-03,Downtime,3.6,Hydraulic Leak,1824,1440,-3264,0.0,0.0
2025-08-06 08:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,87.4
2025-08-06 16:00:00,CR-103,PL-03,Downtime,2.8,Sensor Malfunction,640,1120,-1760,0.0,0.0
2025-08-07 00:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,86.0
2025-08-07 08:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,87.5
2025-08-07 16:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,94.6
2025-08-08 00:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,91.6
2025-08-08 08:00:00,CR-103,PL-03,Downtime,4.2,Hydraulic Leak,1000,1680,-2680,0.0,0.0
2025-08-08 16:00:00,CR-103,PL-03,Downtime,2.8,Hydraulic Leak,2187,1120,-3307,0.0,0.0
2025-08-09 00:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,87.4
2025-08-09 08:00:00,CR-103,PL-03,Downtime,3.8,Hydraulic Leak,2383,1520,-3903,0.0,0.0
2025-08-09 16:00:00,CR-103,PL-03,Downtime,3.9,Motor Overheating,1847,1560,-3407,0.0,0.0
2025-08-10 00:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,92.6
2025-08-10 08:00:00,CR-103,PL-03,Downtime,4.7,Hydraulic Leak,2268,1880,-4148,0.0,0.0
2025-08-10 16:00:00,CR-103,PL-03,Downtime,5.3,Hydraulic Leak,1481,2120,-3601,0.0,0.0
2025-08-11 00:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,90.5
2025-08-11 08:00:00,CR-103,PL-03,Downtime,2.8,Motor Overheating,1550,1120,-2670,0.0,0.0
2025-08-11 16:00:00,CR-103,PL-03,Downtime,5.9,Bearing Failure,3251,2360,-5611,0.0,0.0
2025-08-12 00:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,94.8
2025-08-12 08:00:00,CR-103,PL-03,Downtime,3.7,Bearing Failure,3289,1480,-4769,0.0,0.0
2025-08-12 16:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,86.5
2025-08-13 00:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,88.4
2025-08-13 08:00:00,CR-103,PL-03,Downtime,3.6,Electrical Fault,1102,1440,-2542,0.0,0.0
2025-08-13 16:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,88.0
2025-08-14 00:00:00,CR-103,PL-03,Downtime,5.0,Bearing Failure,3577,2000,-5577,0.0,0.0
2025-08-14 08:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,85.0
2025-08-14 16:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,91.5
2025-08-15 00:00:00,CR-103,PL-03,Downtime,5.2,Motor Overheating,2925,2080,-5005,0.0,0.0
2025-08-15 08:00:00,CR-103,PL-03,Downtime,2.2,Sensor Malfunction,427,880,-1307,0.0,0.0
2025-08-15 16:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,91.3
2025-08-16 00:00:00,CR-103,PL-03,Downtime,2.5,Bearing Failure,2951,1000,-3951,0.0,0.0
2025-08-16 08:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,90.0
2025-08-16 16:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,88.8
2025-08-17 00:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,85.0
2025-08-17 08:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,87.9
2025-08-17 16:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,88.3
2025-08-18 00:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,86.0
2025-08-18 08:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,89.2
2025-08-18 16:00:00,CR-103,PL-03,Downtime,5.3,Conveyor Belt Issue,1061,2120,-3181,0.0,0.0
2025-08-19 00:00:00,CR-103,PL-03,Downtime,2.6,Electrical Fault,1772,1040,-2812,0.0,0.0
2025-08-19 08:00:00,CR-103,PL-03,Downtime,5.0,Conveyor Belt Issue,1360,2000,-3360,0.0,0.0
2025-08-19 16:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,92.0
2025-08-20 00:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,95.0
2025-08-20 08:00:00,CR-103,PL-03,Downtime,4.5,Sensor Malfunction,440,1800,-2240,0.0,0.0
2025-08-20 16:00:00,CR-103,PL-03,Downtime,4.9,Electrical Fault,1280,1960,-3240,0.0,0.0
2025-08-21 00:00:00,CR-103,PL-03,Downtime,3.3,Hydraulic Leak,2106,1320,-3426,0.0,0.0
2025-08-21 08:00:00,CR-103,PL-03,Downtime,2.6,Bearing Failure,2784,1040,-3824,0.0,0.0
2025-08-21 16:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,90.9
2025-08-22 00:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,91.3
2025-08-22 08:00:00,CR-103,PL-03,Downtime,3.6,Bearing Failure,3111,1440,-4551,0.0,0.0
2025-08-22 16:00:00,CR-103,PL-03,Downtime,2.2,Conveyor Belt Issue,1352,880,-2232,0.0,0.0
2025-08-23 00:00:00,CR-103,PL-03,Downtime,5.6,Electrical Fault,1996,2240,-4236,0.0,0.0
2025-08-23 08:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,89.6
2025-08-23 16:00:00,CR-103,PL-03,Downtime,5.5,Bearing Failure,3179,2200,-5379,0.0,0.0
2025-08-24 00:00:00,CR-103,PL-03,Downtime,2.0,Electrical Fault,1520,800,-2320,0.0,0.0
2025-08-24 08:00:00,CR-103,PL-03,Downtime,3.6,Hydraulic Leak,1858,1440,-3298,0.0,0.0
2025-08-24 16:00:00,CR-103,PL-03,Downtime,4.9,Sensor Malfunction,709,1960,-2669,0.0,0.0
2025-08-25 00:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,85.0
2025-08-25 08:00:00,CR-103,PL-03,Downtime,2.9,Motor Overheating,2392,1160,-3552,0.0,0.0
2025-08-25 16:00:00,CR-103,PL-03,Downtime,3.6,Conveyor Belt Issue,1184,1440,-2624,0.0,0.0
2025-08-26 00:00:00,CR-103,PL-03,Running,8.0,None,0,0,0,100.0,89.9
2025-08-26 08:00:00,CR-103,PL-03,Downtime,2.7,Electrical Fault,1757,1080,-2837,0.0,0.0
